year,developer,price,items_count
1996,Revolution Software Ltd,Free,Access Games
1997,Revolution Software Ltd,Free,"SmiteWorks USA, LLC"
2017,Milestone S.r.l.,Free,"KrossRails,Dovetail Games"
2017,"Binary Zoo,The Game Creators",Free to Play,Jon Gallant
2010,Ubisoft - San Francisco,Free to Play,Saibot Studios
2015,Snail-Ninja Studio,Free To Play,"Arc System Works,DotEmu"
2017,"KOEI TECMO GAMES CO., LTD.",Free to Play,Valve
2017,"KOEI TECMO GAMES CO., LTD.",Free to Play,exosyphen studios
2017,"KOEI TECMO GAMES CO., LTD.",Free to Play,Amaterasu Software
2017,Arrowiz,Free To Play,"Relic Entertainment,Feral Interactive (Mac),Feral Interactive (Linux)"
2017,Virtys,Free To Play,DoubleBear Productions
2017,DOG HOGGLER,Free To Play,Lee Sang
2017,VooFoo Studios,Free,Fakt Software
2017,Capcom,Free to Play,StevenHarmonGames
2017,Panoramik Inc,Free,Nothing Rhymes With Entertainment
2017,Laminar Research,Free,takk
2017,Laminar Research,Free,Musopia
2017,Laminar Research,Free,Forever Entertainment S. A.
2017,Laminar Research,Free,Computerhouse
2017,Laminar Research,Free,Team 6 Studios
2017,Laminar Research,Free,SubJuegos
2015,imaginite Ltd,Free To Play,Simple Blue
2017,Infinity Ward,Free,TAMSOFT
2014,ForepawSoft,Free,Ubisoft - San Francisco
2016,ForepawSoft,Free,Kurechii
2017,IPACS,Free To Play,Chainsaw Syndicate
2012,Smartbig Corportion,Free To Play,Pixel with Hat
2017,Screwy Lightbulb,Free,Omniconnection
2017,Kyvos Studios,Free,Silk Games
2015,LaboRatStudio,Free To Play,KOG
2017,Vogelfänger,Free,"Gravity, Inc."
2017,"Travis Forkner,Will Nations,Hailee Ammons",Free To Play,Jason Carter
2016,Strategiae,Free,"SmiteWorks USA, LLC"
2017,Ankama Studio,Free to Play,Ubisoft - San Francisco
2017,Allods Team,Free To Play,Holotech Studios
2017,Allods Team,Free,Ubisoft - San Francisco
2017,"SmiteWorks USA, LLC",Free,Bitmen Studios
2016,Random Seed Games,Free,"Idea Factory,Compile Heart"
2017,Galaxy Game Studio,Free To Play,Illwinter Game Design
2017,Milestone S.r.l.,Free,AMPLITUDE Studios
2017,AlternativaPlatform,Free to Play,Trendy Entertainment
2017,Reactive Drop Team,Free,Ino-Co Plus
2017,Nordcurrent,Free To Play,"Monolith Productions, Inc.,Feral Interactive (Mac),Feral Interactive (Linux)"
2017,"Mokylin Tech. Co.,Ltd",Free to Play,Inaccurate Interactive
2017,Ejoy Games,Free To Play,Aric Morrow
2017,Ebullience Games,Free To Play,Team2Bit
2017,Quiet River,Free,BlackMark Studio
2017,Peak Angle Team,Free,"Degica,Scythuz"
2017,Not Magic,Free,N-Fusion Interactive
2017,Milestone S.r.l.,Free,PileOfCrab
2017,Feline Fuelled Games,Free,RailSimulator.com
2017,Silent Legends,Free To Play,Ubisoft - San Francisco
2017,FIVE-BN GAMES,Free to Play,SNK Playmore
2017,ExperaGameStudio,Free,Chun Y.
2015,Alawar Entertainment,Free,"SmiteWorks USA, LLC"
2017,Pixel Night,Free,Brain Seal Ltd
2017,"Strata Mixed Reality, Inc.",Free,"Pilgrim Adventures,GrabTheGames Studios"
2017,上海班图网络科技有限公司,Free To Play,Sanzaru Games Inc.
2017,Milestone S.r.l.,Free,Slant Six Games
2017,Little World Studio,Free,"Phoenix Online Studios,Pinkerton Road Studio"
2017,Naloki,Free To Play,Impressions Games
2017,"KOEI TECMO GAMES CO., LTD.",Free to Play,Aweswan studios
2017,LR Studio,Free,OddBird
2017,Apillo,Free to Play,Ubisoft - San Francisco
2017,Berzerk Studio,Free To Play,Cherry Pop Games
2017,Nadeo,Free,Play Spirit Limited
2017,Aqualuft Games,Free,Birdshark! Games
2017,Bono Games,Free To Play,"CAVE Interactive CO.,LTD."
2011,BANDAI NAMCO Studios Inc.,Free,Three Gates AB
2017,TBDTS Games,Free,Access Software
2016,FromSoftware,Free to Play,PlazSoft
2017,Träumendes Mädchen,Free To Play,"SmiteWorks USA, LLC"
2017,Team B.R.O.S.,Free To Play,Vigil Games
2016,Wetgenes,Free,HKFiftyOne Games
2016,Candycane Games,Free To Play,10ft Games
2016,"Berserk Games,Gamelyn Games",Free,HeroCraft
2017,Trendy Entertainment,Free to Play,Shoho Games
2017,Dragom,Free,MeshTools
2017,Camex Games,Free To Play,MumboJumbo
2017,Edo Create,Free To Play,stillalive studios
2017,Michael Klaus Schmidt,Free,XenoAisam
2017,lingtanstudio,Free To Play,Techland
2017,Funcom,Free,Artogon Corp.
2017,"MWC,David J. Franco",Free,Avalanche Studios
2016,DarkShot Studios,Free,"KOEI TECMO GAMES CO., LTD."
2017,"Arttu Tuovinen,Alan Bourhis,Michael Callaghan",Free to Play,Zero Point Software
2017,Pavo Studio,Free,Roman Kozhukhov
2017,Vashta Entertainment,Free,Stainless Games
2017,"SmiteWorks USA, LLC",Free,Crystal Dynamics
2017,DONTNOD ELEVEN,Free To Play,Threye Interactive
2017,Subvert Games,Free,Idea Factory
2017,Dragon Foundry,Free To Play,SONNORI Corp
2017,ExperaGameStudio,Free,"KOEI TECMO GAMES CO., LTD."
2017,Overgroup,Free To Play,Paradox Interactive
2017,Imperia Online LTD,Free To Play,Michael Lückgen
2017,Creability,Free To Play,Teknopants
2016,TT Games,Free,DotEmu
2017,Trapped Team,Free,Catstudio
2017,Restory Studio,Free,ElZzap Software
2013,Creaky Lantern Games,Free,Paradox Development Studio
2017,Gravity Interactive,Free to Play,High Iron Simulations
2017,nullos GbR,Free,Taco Truck Games
2017,Steve Antoniadis,Free To Play,Deconstructeam
2017,Ubisoft,Free,Cybertime System
2012,Dovetail Games,Free To Play,WindThunder Studio
2016,Individual Software,Free,Vertigo Games America
2017,SolarByte,Free to Play,Seraphim Creations
2017,"Asmodee Digital,Playsoft,Z-Man Games",Free to Play,"xXarabongXx,WrathSchneider"
2017,Pixel Federation,Free To Play,Ubisoft - San Francisco
2017,Unnyhog,Free To Play,Lunar Giant
2017,IPACS,Free,Gravity Interactive
2017,"Monolith Productions, Inc.",Free to Play,Klei Entertainment
2017,Targem Games,Free To Play,Team17 Digital Ltd
2017,lightUP,Free,Mad Unicorn Games
2017,Funcom,Free To Play,Alawar Stargaze
2017,Random Seed Games,Free to Play,Hothead Games
2014,Labyrinthine,Free To Play,Blaze Epic
2017,XTeam Software Solutions srls,Free,The Farm 51
2017,Mimimi Productions,Free,Realore
2017,ZoR Dev,Free To Play,"Traveller's Tales,TT Games,Feral Interactive (Mac)"
2015,Ankama Studio,Free,Gaijin Entertainment
2017,Joseph Calabro,Free to Play,SmashMouth Games Ltd
2017,No Moon,Free to Play,Access Software
2017,"YourFunWorld Studios,Grey Havens",Free To Play,SEGA
2017,FrozenPepper S.R.L,Free To Play,ProjectorGames
2017,Brave Little Studios,Free To Play,PopTop
2017,Noble Master LLC,Free to Play,United Front Games
2017,Ubisoft - San Francisco,Free to Play,"SmiteWorks USA, LLC"
2016,ERS Game Studios,Free To Play,Altai Game Studio
2011,"SmiteWorks USA, LLC",Free,Art Games
2017,"Chasing Carrots,Schnack Music Manufacture",Free,Solar Sails Games
2017,Little Big MMO,Free To Play,Plexagon Studios
2017,"Super Awesome Hyper Dimensional Mega Team,Sonotrigger",Free,Cateia Games
2017,14 Hours Productions,Free to Play,Sindie Games
2017,Initiative Games,Free To Play,Mega Crit Games
2017,Eternal Night Studios,Free To Play,"Artur Games,Music by Darkman007"
2016,Dumb and Fat Games,Free,Quiet River
2017,Bulbware,Free,Cat5Games
2011,Gerald David Becker,Free,Exe Create Inc.
2017,CloudScapeGT,Free,"Square Enix,KOEI TECMO GAMES CO., LTD."
2017,Deydrihm,Free,Graviteam
2017,WnMStudio,Free To Play,Focus Home Interactive
2017,SOFTON ENTERTAINMENT,Free to Play,Funktronic Labs
2015,Evan (Solidplasma) Peiperl,Free,VaragtP
2017,"Stardock Entertainment,Oxide Games",Free,Cornered Rat Software
2017,Endless Loop Studios,Free,4 Head Studios
2017,"OrangeGames,YoudaGames",Free To Play,Warfare Studios
2015,Fishing Planet LLC,Free to Play,Thomson Interactive
2017,"Flo Knödl,Johannes Fischer,Michael Hütter,Christoph Müller,Simon Eberl,Thomas Kern,Lukas Schönwiese",Free,Military Visualizations
2015,Fishing Cactus,Free To Play,Abrakam SA
2017,弘原游戏,Free,The Astronauts
2017,Llama Software,Free,Ubisoft - San Francisco
2017,Llama Software,Free,Dovetail Games
2018,momoStorm Entertainment,Free To Play,Joakim Sandberg
2017,X-Legend,Free To Play,Cooply Solutions
2017,Glyph Worlds,Free To Play,Bird in Sky
2017,Hohng LLC,Free,David O'Boyle
2017,JoyBits Ltd.,Free to Play,Noble Empire Corp.
2017,Dodge Roll,Free to Play,Fire Hose Games
2017,slizer88,Free To Play,Verymax
2017,Dalibor Kamnjanac,Free,Zombie Studios
2010,IMakeGames,Free To Play,"Gregory Avery-Weir,Melissa Avery-Weir"
2017,NS STUDIO,Free To Play,"Spike Chunsoft Co., Ltd."
2017,Chocolate Liberation Front,Free,IO Interactive
2017,Lokator Studio,Free,Orbx
2017,"BNA Studios, LLC",Free To Play,ACE Team
2017,Ediogames,Free to Play,Sliverbroom Studios
2017,Hi-Rez Studios,Free to Play,Ubisoft - San Francisco
2017,Monster Games,Free,"Tribe Tea,Stas Shostak,Evgeniy Yudin,Alexzander Protasenya,Ruslan Viter"
2017,Event Horizon,Free,Replay Studios
2017,Mani Kommoula,Free,Ideas Pad
2017,The Dashing Crate,Free To Play,The Sun Will Rise Team
2017,gtscom,Free To Play,Michaela Laws
2017,YETU GAME,Free,K-D Lab
2017,LAN - GAMES EOOD,Free to Play,The 3DO Company
2017,"LucasArts,Aspyr Studios",Free To Play,Evil Twin Artworks
2017,"Aleksandr Soldatov,Leonid Kozhushko",Free To Play,The Sims Studio
2004,Telltale Games,Free To Play,Elushis
2015,Dragonfly,Free,"ApathyWorks, LLC"
2016,Burak Yücel,Free,Ubisoft - San Francisco
2017,"Future Games Select,Cayle George",Free,Ubisoft - San Francisco
2017,"Future Games Select,Cayle George",Free,PVGames
2017,Endless Loop Studios,Free,MercurySteam - Climax Studios
2017,Zetsubou,Free,Ensemble Studios
2017,"Linden Research, Inc.",Free To Play,Kittik Game Studio
2017,Teletower Studios,Free To Play,Hosted Games
2017,Yo252yo,Free,InvertMouse
2017,Toni Domínguez,Free,Chronos Unterhaltungssoftware
2017,NEXON Korea Corp.,Free To Play,Michaela Laws
2006,SDEnterNET,Free To Play,"BadFly Interactive, a.s."
2017,IronEqual,Free To Play,Scott Cawthon
2017,Upturn Games,Free,Achisoft
2017,Grindstone Interactive,Free to Play,Dragonfly
2017,GIANTY Inc.,Free,Treehouse Ltd
2017,Videojuegos Fermín,Free To Play,BrashMonkey
2017,MING-CHIEN LEE,Free,"NetherRealm Studios,QLOC"
2017,Christopher Howard,Free To Play,"Damian Sommer,Emily Carroll"
2017,Coty Getzelman,Free to Play,David Mulder
2016,Bazitov Mikhail,Free To Play,Devil's Details
2017,Z-Software GmbH,Free,Roger von Biersborn
2017,Retrotainment Games,Free,azimut team
2017,Crankies Smartworks,Free,Gameplay Ltd.
2017,Deck13,Free to Play,Neo Red Entertainment
2017,YIMING ZHANG,Free To Play,HexWar Games
2017,Fasold Games,Free,MAGES. Inc.
2017,Joycity,Free To Play,Cyanide Studios
2017,Pixel with Hat,Free,Nomad Games
2017,The Game Creators,Free,Ubisoft - San Francisco
2017,Iron 27,Free To Play,Choice of Games
2017,SandorHQ,Free,Futuremark
2014,DL Softworks,Free,dwCrew
2016,Funcom,Free To Play,Beamdog
2017,Gigantoraptor Games,Free,"Relic Entertainment,Feral Interactive (Mac),Feral Interactive (Linux)"
2017,Celery Emblem™,Free,Ovosonico
2015,Thrive Games,Free,Infinity Ward
2017,Extreme Developers,Free To Play,Maple Flag
2017,PinkySwear,Free,GoldenGod Games
2017,Cybergrotex,Free To Play,Daniel Griffin
2017,Connor O.R.T. Linning,Free,Mad Head Games
2017,PuzzleRoo,Free,The Artistocrats
2017,Creative Assembly,Free,ACQUIRE Corp.
2017,Omniconnection,Free to Play,Days of Wonder
2017,Grey Gods,Free,Colossal Wreck
2017,Cyan Inc.,Free To Play,Invi Games
2017,Nestor Yavorskyy,Free,Milkstone Studios
2017,Jumpsky.co,Free,Battenberg Software
2017,"Kaos Studios,Digital Extremes",Free To Play,Paradox Development Studio
2017,Chess no choke games,Free,Walter Machado
2017,Causa Creations,Free,Team17 Digital Ltd
2017,AIGRIND,Free to Play,"SmiteWorks USA, LLC"
2017,"Riposte Games &amp; Co, Inc",Free To Play,MumboJumbo
2017,Derpy Dinos,Free To Play,14 Hours Productions
2014,CGGAMES,Free,plaiko
2017,bad monkee,Free to Play,DIMPS
2017,Point2Point Entertainment,Free,"CAVE Interactive CO.,LTD."
2017,IObit,Free,WhiteNutGames
2017,Shadow Blade Productions,Free,Phil Blank
2017,Stunlock Studios,Free To Play,Tamsoft
2017,Class of  2016-2017,Free,DL Softworks
2017,"F.U.U.M. Co., Ltd.",Free To Play,"Mighty Rabbit Studios,Relevant Games"
2017,"F.U.U.M. Co., Ltd.",Free To Play,Havishamone Games
2017,"F.U.U.M. Co., Ltd.",Free To Play,"Capcom U.S.A., Inc."
2017,"F.U.U.M. Co., Ltd.",Free To Play,David Kilmer
2017,TML-Studios,Free,Microblast Games
1994,RDavis,Free,Ino-Co Plus
2017,AMPLITUDE Studios,Free,Snowdrop Lab
2017,AMPLITUDE Studios,Free,Teyon
2017,AMPLITUDE Studios,Free,"Toadman Interactive,Fatshark"
2017,"Dragonfly GF Co., LTD",Free,Milestone S.r.l.
2004,Unreal Software,Free To Play,Dovetail Games
2015,"Daedalic Entertainment,Irresponsible Games",Free,Evgeny Osmet
2017,AMPLITUDE Studios,Free,Wolfire Games
2017,"KOEI TECMO GAMES CO., LTD.",Free,DL Softworks
2015,"Obsidian Entertainment,My.com",Free To Play,Glass Bottom Games
2017,Obsidian Entertainment,Free,Jon Gallant
2015,Kiz Studios,Free To Play,Boolat Entertainment
2014,"Finji,Kittehface Software",Free,"Tilted Mill Entertainment, Inc."
2017,Monster Games,Free,CreativeForge Games
2017,The Game Creators,Free,Sacada
2015,inbetweengames,Free,bycomb
2015,"Rocketeer Games Studio, LLC",Free To Play,The Hazardous Dude
2017,SoftWeir Inc.,Free,Freebird Games
2017,Cole Kitroser,Free,Lupiesoft
2010,"SmiteWorks USA, LLC",Free,Team Cherry
2012,"Relic Entertainment,Modern Combat Development Team,Black Sand Studios",Free,Tomb Team
2017,Binary Souls,Free,Aratog LLC
2017,Koo Games Ltd,Free,White Chamber
2007,"Callipygian Games, LLC",Free To Play,Capcom
2017,"Digital Cookie Co., Ltd.",Free,SEGA
2017,Fantasy Flight Games,Free To Play,Totem games
2017,Scott Cawthon,Free,Arc System Works
2017,Jakal Studios,Free to Play,Irrational Games
2017,Colossal Order Ltd.,Free,Joycity
2017,"RocketSnail,SkyVu",Free to Play,A Maniacal Game LP
2017,Archbears,Free To Play,"Mad Hunter Studio,EHTechnology"
2017,KITATUS STUDIOS,Free,Valut
2017,LOVIGAME,Free,11 bit studios
2017,"Ward Mahadin,Aaram Mahadin,Nehaia Halabeieh",Free,Nitro Games
2017,Quiet River,Free To Play,Arcane Raise
2017,Caliburn Studio,Free To Play,Endless Loop Studios
2017,Juppiomenz,Free to Play,Thylacine Studios
2017,ecoddr,Free To Play,SQUARE ENIX
2017,Gameloft,Free To Play,Artifex Mundi
2017,Gameloft,Free,MAGIX Software GmbH
2017,N3V Games,Free,Darkraven
2017,TiGAMES,Free To Play,MAGIX Software GmbH
2017,Ripstone,Free,"Bread Team,Victor Solodilov,Denis Novikov"
2017,Albatros Softworks,Free,Red Abyss Software
2017,Monster Games,Free,Carlo D'Apostoli Projects
2017,Hijong Park,Free,oddonegames
2017,Soccer Manager Ltd,Free To Play,Still Running
2017,"Sonic Team,Hardlight",Free,Checkmark Games
2017,The Game Bakery,Free,"SmiteWorks USA, LLC"
2017,Raum Studio,Free To Play,BL-Logic
2016,Crystal Box Team,Free,Splashteam
2017,Harry Gill,Free,Pixel Elephant
2017,Atom Republic,Free to Play,Ubisoft – San Francisco
2017,Robert Ferry,Free,Studio Fizbin
2017,Kaan Bukusoglu,Free To Play,Dambuster Studios
2017,Wooden Shoes Games,Free,Rampant Games
2017,The Game Creators,Free To Play,Magic Pixel Kft.
2017,Prideful Sloth,Free,Ubisoft - San Francisco
2017,The House of Fables,Free,Ionized Games
2017,Crytek,Free,Altar Games
2017,Doborog Games,Free,FarSight Studios
2017,Noio,Free,Ape Law
2017,Leon Aminof,Free To Play,SNK CORPORATION
2016,Top3Line s.r.o.,Free,Ubisoft - San Francisco
2015,Hidden Path Entertainment,Free,"Codemasters Racing,Feral Interactive (Mac)"
2017,Scourgey Works,Free,Clickteam
2018,Heliocentric Studios,Free,NS STUDIO
2017,Arcupion Art,Free To Play,Incandescent Imaging
2017,Alice &amp; Smith,Free,Real Dynamics
2017,Just Fishing LLC,Free To Play,Ubisoft - San Francisco
2017,YGGDRASIL STUDIO,Free to Play,"Milan Kazarka,Jeroen van Oosten"
2016,NorbSoftDev,Free,Microids
2017,Holyday Studios,Free To Play,Paradox Interactive
2014,"GZ Storm,Lazrael",Free To Play,SharkGame
2017,Spiele-Palast GmbH,Free To Play,G. Malta
2014,DIMPS,Free,Mind Over Matter Studios
2017,Fiveamp,Free To Play,Pixel Guy
2017,Roman Kozhukhov,Free To Play,Snapshot Games Inc.
2017,Luis Eduardo Guedes Martins,Free,Dovetail Games
2012,Ripknot Systems,Free,Simgames.ch
2017,"CAPCOM Co., Ltd.",Free To Play,"SmiteWorks USA, LLC"
2017,Gameloft,Free To Play,Eastshade Studios LLC
2012,"Team17 Digital Ltd,Mouldy Toof Studios",Free,Kevin Nitschmann/Darius Bode
2017,Albatros Softworks,Free,Quantum Entanglement Games
2017,Desert Owl Games LLC,Free To Play,BioWare
2017,Jajaben Games,Free,Encircle Games
2017,SEROSOO,Free,Cardboard Keep
2017,Studio Namaapa,Free,Frontier Developments
2017,アスガル騎士団,Free,Edge Case Games Ltd.
2013,Byzantine Games,Free to Play,Ubisoft - San Francisco
2017,"hyperboreanGames,Svarog Studios",Free,Stainless Games
2017,RayKingArts,Free,上海烛龙信息科技有限公司
2017,Jean-Sébastien Nouveau,Free,Flump Studios
2017,Droog71,Free,Sonic Boom Games
2017,Absolutist Ltd,Free To Play,Cannibal Panda Studios
2017,Team DOTS,Free,"Team NINJA,KOEI TECMO GAMES CO., LTD."
2017,Michael McCartney,Free,NukGames
2017,Stainless Games Ltd,Free,Red Chain Games Ltd.
2017,Semicolon;,Free to Play,Tsunehiko Shimazu
2017,Shazard G Bansraj,Free To Play,Bohemia Interactive
2017,Tribal Dreams,Free,XLGAMES
2017,Actoz Soft,Free To Play,The Most
2017,Arc System Works,Free,Gearbox Software
2017,Brewsterland Studios,Free To Play,b-alive gmbh
2017,For Kids,Free To Play,"SmiteWorks USA, LLC"
2017,Thunder Devs.,Free To Play,ThinkFast Studio
2017,Daniel Wiitanen,Free To Play,Dovetail Games
2017,"KING Art,upjers",Free To Play,Wormwood Studios
2017,"Sonic Team,Hardlight",Free,putilin_industries
2017,WayForward,Free,SEGA
2015,Stainless Games,Free,Dreadbit
2017,兔子放映部,Free,The Foregone Syndicate
2017,"Acram Digital,Mobo Studio",Free,Access Games
2017,Crytek,Free To Play,Mirador Studio
1981,zov game stuido,Free,Jan Zizka
2017,Dovetail Games,Free,SGS Team
2017,NS STUDIO,Free To Play,Benjamin Scott
2016,Ubisoft - San Francisco,Free,Overhype Studios
2012,PLut,Free Mod,251 Games
2017,"owl.,Jonas Tintenseher,BáiYù,Andrewus,Atomic-Invasion,Butterfly Wisps,Noyemi Karlaitė,Mama J,Shida",Free,"Playdek, Inc."
2017,Bluehole Ginno Games,Free,"Capcom U.S.A., Inc."
2017,Alawar Stargaze,Free To Play,Sleepless Clinic
2016,Turbo Tape Games,Free,REAL Co.Ltd
2017,Konami Digital Entertainment,Free to Play,League of Geeks
2017,Tomb Team,Free To Play,Rocksteady Studios
2017,Left Flank Games,Free To Play,Ubisoft - San Francisco
2016,Fabricated Reality Software,Free to Play,Longbow Games
2017,"Konami Digital Entertainment Co., Ltd",Free to Play,PixelMouse
2017,LongYou Game,Free To Play,"KADOKAWA,Yoji Ojima,Murray Atkinson"
2016,Lemon Jam Studio,Free To Play,"SmiteWorks USA, LLC"
2015,Ronimo Games,Free,Double Fine Productions
2017,Obsidian Entertainment,Free,Musopia
2016,Alawar,Free,Playtonic Games
2017,Wargaming Group Limited,Free to Play,Frogwares
2017,bycomb,Free,Daedalic Entertainment
2013,Sports Interactive,Free,"Just1337 Studio,Crohack"
2008,Vibe Avenue,Free,Trinket Studios
2017,Saddletrip,Free,David Mulder
2017,Team Nekojishi,Free To Play,Ubisoft - San Francisco
2017,Camex Games,Free To Play,"IllFonic,Psyop Games"
2017,Teemo Soft,Free,Codename Entertainment Inc.
2017,Naddic Games,Free To Play,Ubisoft Montreal
2017,Quiet River,Free to Play,"Relic Entertainment,Feral Interactive (Mac),Feral Interactive (Linux)"
2017,TerkStudios,Free,"38,9_Degrees"
2015,BioWare,Free To Play,Warfare Studios
2008,Estelion,Free To Play,Ubisoft - San Francisco
2017,Heluo Studio,Free To Play,圆点游戏
2017,IPACS,Free,Bacq Stellan
2017,"Sonic Team,Hardlight",Free,ScaryPotato
2017,Vladimir Maslov,Free To Play,"FarSight Studios, Inc."
2017,2-Volt Games,Free to Play,Visiontrick Media
2017,AIGRIND,Free To Play,X-Bow Software
2017,"Nova Dimension,Game-Ready Studio",Free,Hammerfall Publishing
2017,"Nova Dimension,Game-Ready Studio",Free,CyberLink
2017,BBit,Free To Play,Ubisoft - San Francisco
2017,Techland,Free To Play,Fishcow Studio
2013,Black Pants Studio,Free,"Capcom U.S.A., Inc."
2017,Project Polish Productions,Free to Play,Timedrop Studios
2017,Team Full Sail,Free,Musopia
2016,IndigoBlue Game Studio,Free,Viny Game Studios
2017,SubJuegos,Free,DiezelPower
2017,The Hyper Carries!,Free to Play,NIGHTBOX
2014,Paradox Development Studio,Free To Play,Squish Studios LLC
2017,Artyom Laletin,Free,LucasArts
2017,Ithaqua Labs,Free,"VI GAMES LLC,Ivan Buderkrvych"
2017,Red Dot Games,Free,Matrix Trains
2017,Black Forest Games,Free To Play,Ironsun Studios
2017,Nestor Yavorskyy,Free,SEGA
2017,Hoobalugalar_X,Free,HA Studio Ltd.
2017,Albatros Softworks,Free,Frisky Fatal Games
2017,Sometimes You,Free To Play,PinkySwear
2017,Fasold Games,Free To Play,Profenix Studio SRLS
2017,Andrew Rodenhiser,Free To Play,"German Airports Team,Omar Masroor,Caipirinha Games"
2017,Initiative Games,Free,"MPR ART Hallucinations,Roger Levy"
2017,Reflect Studios,Free,AMPLITUDE Studios
2017,"KUMA, LLC",Free To Play,Jamey Stegmaier
2017,Bristol Street Studios,Free,Zen Studios
2010,Battle of Crete Development Team,Free,Suspicious Developments
2017,AMPLITUDE Studios,Free,Stardock Entertainment
2017,拉貢拉斯找金粒,Free To Play,"Triple-Star Studio,Rock Path Collective"
2017,Malzbie Games,Free To Play,Arconyx
2017,"Strata Mixed Reality, Inc.",Free,Ubisoft - San Francisco
2017,Wickworks,Free,The Sims Studio
2016,Capcom,Free To Play,"Sledgehammer Games,Raven Software"
2017,深圳市云宙多媒体,Free,Peter Lacalamita
2017,Zen Studios,Free,Infinity Ward
2016,Rebusmind,Free To Play,"Schine, GmbH"
2017,Rainbow Games,Free to Play,SCS Software
2017,SNK Playmore,Free,putilin_industries
2017,O.P. Games,Free,"Gravvit Ltd,Forbes  Consult Ltd"
2017,GAMESinFLAMES,Free To Play,NGD Studios
2017,Monster Games,Free,Boogygames Studios
2017,Monster Games,Free,Goatee Games
2017,"Live in the Game, LLC Self",Free To Play,Tequila Works SL
2017,Bytro Labs GmbH,Free to Play,"Idea Factory,Compile Heart"
2017,BRINK 3D,Free,DL Softworks
2017,CreativeForge Games,Free,"Maxwolf,Fox"
2017,B2Expand,Free To Play,Ubisoft - San Francisco
2017,Overhype Studios,Free,Mana Games
2016,Ultimate Glitch,Free,Ubisoft - San Francisco
2017,Top Shelf Studios,Free,Trendy Entertainment
2017,Acute Games,Free To Play,"SmiteWorks USA, LLC"
2017,Fury Software,Free,"SmiteWorks USA, LLC"
2017,Super Suite Studios,Free to Play,"BLACK LODGE GAMES, LLC"
2017,Ultrabit,Free to Play,Tazigen Clock
2017,Blue Mammoth Games,Free to Play,MECH'AT
2015,Gato Salvaje S.L.,Free To Play,Bulwark Studios
2016,Funtime,Free To Play,"XiNFiNiTY Games,Nova Studios"
2017,Anton Shatalov,Free,Room710Games
2017,Pixel with Hat,Free,Red Abyss Software
2017,Ninja Kiwi,Free To Play,Capcom
2017,Steven Taylor,Free To Play,"UBIart Montpellier,Feral Interactive (Mac)"
2017,Dave Gumble,Free To Play,Ubisoft - San Francisco
2007,Idea Factory,Free,Wulo Games
2017,Home Net Games,Free To Play,Animation Arts
2017,Spasman Games,Free To Play,"Ubisoft Quebec, in collaboration with Ubisoft Annecy, Bucharest, Kiev, Montreal, Montpellier, Shanghai, Singapore, Sofia, Toronto studios"
2017,Carlo D'Apostoli Projects,Free,Why Not Games
2015,"no CVT,BlackMuffin",Free To Play,Khor Chin Heong
2017,Okinawa Sunrise,Free,Ethereal Darkness Interactive
2017,"imos AG,MOS Consult",Free To Play,Nozon
2017,TeamTop Games,Free to Play,Arc System Works
2015,Hardsuit Labs,Free,"Ironclad Games,Stardock Entertainment"
2017,Monolith Productions,Free,"Sachonski,Renamilanesi,Sith"
2017,"Monolith Productions, Inc.",Free,Windy Hill
2017,Homewreckers Studio,Free to Play,"Pixel Barrage Entertainment, Inc."
2017,Worthing &amp; Moncrieff,Free To Play,Rodaja
2017,The Revera Corporation,Free,"Galavalomka Games,Aslan Game Studio"
2017,Ionized Games,Free,Studio SiestA
2017,Rob Howland,Free to Play,astragon Entertainment GmbH
2017,Simple Blue,Free To Play,Infinity Ward
2017,4th cluster,Free,Stainless Games
2017,4th cluster,Free To Play,Digital Train Model
2017,Zen Studios,Free To Play,Unbound Creations
2017,Microsoft Game Studios,Free,FullPowerSideAttack.com
2017,Autotelic Games LLC,Free To Play,Relic
